epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.16009,3.13839,4.27977,2.10916,0.00235,0.33333,0.02519,0.00859,1.98791,3.87065,1.11621,2.858e-05,2.858e-05,2.858e-05
2,7.31032,2.96166,4.24071,2.05296,0.00229,0.33333,0.07035,0.02817,1.60806,3.54219,1.14878,7.07426e-05,7.07426e-05,7.07426e-05
3,8.33216,1.57203,3.56268,1.32629,0.00208,0.33333,0.33167,0.14918,1.61514,3.40088,1.04703,0.000112056,0.000112056,0.000112056
4,9.35207,1.13575,2.96307,1.03078,0.00203,0.33333,0.33167,0.23365,1.31712,3.27326,1.05615,0.000152521,0.000152521,0.000152521
5,10.367,1.14998,2.42339,1.00847,0.00196,0.33333,0.33167,0.20129,1.28965,3.3275,0.98675,0.000192138,0.000192138,0.000192138
6,11.3613,1.09071,1.83078,1.02245,0.00203,0.33333,0.33167,0.2448,1.12734,3.29407,0.97733,0.000230905,0.000230905,0.000230905
7,12.3467,1.12776,1.63376,0.98137,0.00214,0.33333,0.33167,0.27282,1.03434,3.12984,0.9354,0.000268823,0.000268823,0.000268823
8,13.305,1.06134,1.36813,0.98422,0.00219,0.33333,0.33167,0.27041,1.06417,3.11375,0.92434,0.000305893,0.000305893,0.000305893
9,14.2894,1.09195,1.33904,1.00393,0.0026,0.34524,0.33183,0.24946,0.89703,3.05923,0.90886,0.000342114,0.000342114,0.000342114
10,15.2769,0.98453,1.2956,0.96574,0.00383,0.39286,0.33262,0.26372,0.86036,3.03931,0.89559,0.000377486,0.000377486,0.000377486
11,16.2667,0.95375,1.22993,0.94885,0.00572,0.46429,0.33408,0.24777,0.93666,2.98996,0.91476,0.000412009,0.000412009,0.000412009
12,17.2064,0.97096,1.13056,0.92375,0.00666,0.5,0.33497,0.23355,1.04033,2.93193,0.90825,0.000445684,0.000445684,0.000445684
13,18.1758,1.0021,1.20614,0.93217,0.00819,0.55952,0.33657,0.24712,1.12536,2.86488,0.89171,0.000478509,0.000478509,0.000478509
14,19.0988,0.97453,1.12882,0.93207,0.00815,0.55952,0.33657,0.23903,1.09518,2.85579,0.87923,0.000510486,0.000510486,0.000510486
15,20.0434,0.9842,1.12996,0.9355,0.00892,0.59524,0.33751,0.19888,1.22072,2.7189,0.90032,0.000541614,0.000541614,0.000541614
16,20.9556,0.91518,1.12234,0.92792,0.00977,0.63095,0.33857,0.24529,1.06065,2.71262,0.89479,0.000571893,0.000571893,0.000571893
17,21.8937,0.91782,1.09391,0.92445,0.01053,0.66667,0.3399,0.26213,0.91967,2.79496,0.8721,0.000601323,0.000601323,0.000601323
18,22.8171,1.00033,1.14385,0.89905,0.01056,0.66667,0.33997,0.26813,1.00076,2.79605,0.86717,0.000629905,0.000629905,0.000629905
19,23.7446,0.95544,1.07647,0.91463,0.01043,0.66667,0.31639,0.25279,0.89272,2.74087,0.86985,0.000657637,0.000657637,0.000657637
20,24.6526,0.97692,1.07669,0.91026,0.83016,0.33333,0.30365,0.23644,0.8726,2.64594,0.87201,0.000684521,0.000684521,0.000684521
21,25.5438,0.92631,1.05076,0.88888,1,0.26831,0.33927,0.25103,0.96869,2.52506,0.85247,0.000710556,0.000710556,0.000710556
