epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.46852,2.78634,4.1894,1.83695,0.00428,0.33333,0.04307,0.013,1.77888,3.52292,1.15668,5.716e-05,5.716e-05,5.716e-05
2,5.84462,1.81094,3.53364,1.35334,0.00522,0.37654,0.31205,0.16051,1.61632,3.39107,1.16041,0.000127337,0.000127337,0.000127337
3,7.19043,1.19334,2.4166,1.0241,0.99074,0.33333,0.33336,0.20723,1.61206,2.50997,1.4058,0.000196099,0.000196099,0.000196099
4,8.47155,1.04495,1.62854,0.99098,0.87918,0.30864,0.30467,0.20897,1.22534,2.51286,1.0133,0.000263446,0.000263446,0.000263446
5,9.75726,0.97605,1.35311,0.93963,0.99889,0.33333,0.33733,0.23854,1.04366,2.62074,0.99437,0.000329379,0.000329379,0.000329379
6,11.0175,1.01733,1.28789,0.9217,0.98661,0.33333,0.3352,0.23474,1.17814,2.62115,0.99213,0.000393897,0.000393897,0.000393897
7,12.3032,0.95199,1.26429,0.90883,0.99572,0.33333,0.33784,0.22816,1.22627,2.41148,0.98766,0.000457,0.000457,0.000457
8,13.561,1.01406,1.14727,0.95952,0.99767,0.33333,0.33912,0.27276,1.10896,2.57624,0.98345,0.000518688,0.000518688,0.000518688
9,14.8407,0.94177,1.03215,0.94736,0.8166,0.33333,0.33876,0.23657,1.11112,2.69852,0.96408,0.000578962,0.000578962,0.000578962
10,16.1139,0.88653,1.00384,0.91645,0.98136,0.33333,0.34181,0.24562,1.27027,2.74573,1.00176,0.000637821,0.000637821,0.000637821
11,17.3663,0.90409,0.98657,0.93537,0.01135,0.61111,0.39569,0.30041,1.20233,2.71703,1.01315,0.000695266,0.000695266,0.000695266
12,18.6275,0.84011,0.98273,0.90766,0.01174,0.57407,0.39009,0.27171,1.25532,2.64457,0.9993,0.000751295,0.000751295,0.000751295
