epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.99919,1.24984,4.85419,1.15025,0.00089,0.26667,0.00323,0.00302,0.86034,4.97999,0.82831,6e-05,6e-05,6e-05
2,6.02055,0.98664,4.75994,1.0781,0.00044,0.13333,0.06524,0.06523,0.86864,4.88468,0.79345,0.000138614,0.000138614,0.000138614
3,7.12958,0.94249,3.93301,0.95566,0.00111,0.33333,0.0657,0.06555,1.05478,4.7626,0.80403,0.000215644,0.000215644,0.000215644
4,8.21047,1.09836,3.57107,0.89694,0.00222,0.66667,0.06717,0.06626,1.09068,4.76696,0.80994,0.00029109,0.00029109,0.00029109
5,9.24836,0.94726,2.48624,1.02593,0.00244,0.73333,0.06802,0.06647,1.10508,4.7828,0.81746,0.000364952,0.000364952,0.000364952
6,10.2749,1.00262,2.58774,0.94099,0.00244,0.73333,0.0687,0.06028,1.08026,4.75287,0.82971,0.00043723,0.00043723,0.00043723
7,11.3059,1.03128,3.07496,0.87196,0.00244,0.73333,0.06868,0.06019,1.05443,4.84259,0.81936,0.000507924,0.000507924,0.000507924
8,12.3426,0.95003,2.40826,0.87055,0.00244,0.73333,0.06834,0.06646,0.99393,4.81695,0.80324,0.000577034,0.000577034,0.000577034
9,13.3706,0.83971,2.18627,0.98175,0.75342,0.06667,0.06727,0.06602,1.11989,4.86219,0.84276,0.00064456,0.00064456,0.00064456
10,14.3856,0.90923,2.07821,0.90633,0.66287,0.06667,0.0668,0.05949,1.05362,4.98745,0.83481,0.000710502,0.000710502,0.000710502
11,15.4236,0.96293,3.0583,0.94016,0.00068,0.10451,0.06662,0.05935,0.94181,4.82238,0.82194,0.00077486,0.00077486,0.00077486
12,16.4596,0.89263,2.43481,0.90125,0.81825,0.06667,0.06686,0.05943,1.00297,4.83875,0.8387,0.000837634,0.000837634,0.000837634
13,17.4937,0.98632,2.1902,0.99916,0.95196,0.06667,0.06663,0.06582,0.99085,4.93244,0.85315,0.000898824,0.000898824,0.000898824
14,18.5028,0.93457,2.03446,0.9689,0.8889,0.06667,0.06621,0.06568,0.99043,4.98878,0.85385,0.00095843,0.00095843,0.00095843
15,19.5262,0.92674,2.66995,0.85918,0.34757,0.06667,0.03386,0.03309,1.05171,5.07047,0.8707,0.00101645,0.00101645,0.00101645
16,20.5218,0.93011,2.32823,1.00721,0.00288,0.53333,0.0079,0.00566,1.18434,5.16472,0.91311,0.00107289,0.00107289,0.00107289
