epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93472,5.95872,6.2863,4.22787,0,0,0,0,6.52677,4.43438,4.16154,5.716e-05,5.716e-05,5.716e-05
2,7.38685,5.8909,6.09768,4.21964,0,0,0,0,6.52499,4.43358,4.15879,0.000127337,0.000127337,0.000127337
3,8.93582,5.95808,6.02656,4.1154,0,0,0,0,6.51875,4.4265,4.14464,0.000196099,0.000196099,0.000196099
4,10.3698,5.66337,5.71837,3.95547,0,0,0,0,6.50997,4.41581,4.12091,0.000263446,0.000263446,0.000263446
5,11.7806,5.5926,5.83215,3.66527,0,0,0,0,6.48972,4.39259,4.06944,0.000329379,0.000329379,0.000329379
6,13.2044,5.35487,5.63951,3.45431,0,0,0,0,6.46381,4.36681,4.01768,0.000393897,0.000393897,0.000393897
7,14.6538,4.91281,5.18004,3.14671,0,0,0,0,6.41489,4.31402,3.91675,0.000457,0.000457,0.000457
8,16.0691,4.68811,4.73332,3.0997,0,0,0,0,6.3762,4.27585,3.85133,0.000518688,0.000518688,0.000518688
9,17.481,4.32308,4.17061,2.67104,0,0,0,0,6.3416,4.24155,3.79342,0.000578962,0.000578962,0.000578962
10,18.9167,4.17693,4.00308,2.57045,0,0,0,0,6.32832,4.22501,3.77566,0.000637821,0.000637821,0.000637821
11,20.3111,3.61781,3.52754,2.37641,0,0,0,0,6.14736,4.09975,3.48447,0.000695266,0.000695266,0.000695266
12,21.7151,3.76149,3.741,2.44755,0,0,0,0,5.53523,3.853,2.81388,0.000751295,0.000751295,0.000751295
13,23.0809,3.41167,3.18276,2.37059,0,0,0,0,5.17573,3.76336,2.57567,0.00080591,0.00080591,0.00080591
14,24.4849,3.27915,3.06728,2.21385,0,0,0,0,5.52178,3.84439,2.81676,0.000859111,0.000859111,0.000859111
15,25.8887,3.043,2.9268,2.29628,0.00137,0.30864,0.00757,0.00112,3.47529,3.53442,2.13053,0.000910896,0.000910896,0.000910896
16,27.2536,2.87676,2.826,2.28552,0.00147,0.33333,0.00869,0.00235,2.82553,3.40298,1.8433,0.000961267,0.000961267,0.000961267
17,28.6716,2.89233,2.70189,2.21619,0.00147,0.33333,0.00959,0.00313,2.68334,3.28698,1.65947,0.00101022,0.00101022,0.00101022
18,30.0403,2.67406,2.44742,2.12992,0.00155,0.33333,0.13069,0.01714,3.24318,2.99753,1.74494,0.00105776,0.00105776,0.00105776
19,31.3972,2.63298,2.44911,2.19044,0.00151,0.33333,0.08349,0.01933,2.73169,2.83053,1.58286,0.00110389,0.00110389,0.00110389
20,32.8101,2.62009,2.35229,2.09426,0.00145,0.33333,0.26164,0.03412,3.20136,2.58637,1.82399,0.0011486,0.0011486,0.0011486
21,34.1662,2.44675,2.19367,2.12748,0.00152,0.33333,0.23009,0.03034,3.26255,2.49777,1.86849,0.00114606,0.00114606,0.00114606
22,35.5183,2.3976,2.1964,2.10446,0.00148,0.33333,0.27352,0.04172,2.85415,2.29714,1.68443,0.00113191,0.00113191,0.00113191
23,36.8946,2.34789,2.1381,2.05309,0.77676,0.30864,0.22646,0.0429,2.72688,2.19078,1.56879,0.00111776,0.00111776,0.00111776
24,38.2859,2.28625,2.13071,1.98965,0.72602,0.33333,0.29022,0.06842,2.63347,1.98581,1.45054,0.00110362,0.00110362,0.00110362
25,39.6879,2.2425,2.11438,2.1773,0.80842,0.33333,0.28754,0.07653,2.61436,1.65128,1.40332,0.00108947,0.00108947,0.00108947
26,41.0528,2.13195,1.9274,1.97367,0.83922,0.33333,0.29183,0.06123,2.71039,1.83574,1.51004,0.00107532,0.00107532,0.00107532
27,42.44,2.08675,1.95187,1.98812,0.37355,0.33333,0.28971,0.0682,2.60772,2.10465,1.42973,0.00106118,0.00106118,0.00106118
28,43.8222,2.07507,1.92998,2.16171,0.88544,0.23579,0.27457,0.05832,2.54788,1.74121,1.35639,0.00104703,0.00104703,0.00104703
29,45.1929,2.02347,1.88285,1.99037,0.96641,0.33333,0.33167,0.07253,2.44638,1.84004,1.33932,0.00103288,0.00103288,0.00103288
30,46.5392,2.04073,1.88616,1.91951,0.84616,0.32099,0.29175,0.07098,2.37241,2.05301,1.12697,0.00101873,0.00101873,0.00101873
31,47.8944,2.02174,1.89275,1.81643,0.84198,0.32099,0.2645,0.08387,2.11149,1.90838,0.96275,0.00100459,0.00100459,0.00100459
32,49.2734,1.80341,1.79381,1.80971,0.93507,0.2963,0.32351,0.11436,2.36343,1.5393,1.23512,0.00099044,0.00099044,0.00099044
33,50.6704,1.8687,1.7413,2.05005,0.96208,0.28861,0.32487,0.13086,2.29231,1.49555,1.15741,0.000976293,0.000976293,0.000976293
34,52.0344,1.90946,1.82436,1.98289,1,0.29009,0.33167,0.11256,2.43825,1.85727,1.28446,0.000962146,0.000962146,0.000962146
35,53.3824,1.76914,1.65978,1.97868,1,0.20777,0.33167,0.12301,1.96422,2.40179,1.24595,0.000947999,0.000947999,0.000947999
36,54.7483,1.85051,1.63374,1.87136,1,0.29104,0.32659,0.13274,2.14924,2.01267,1.37433,0.000933851,0.000933851,0.000933851
37,56.1275,1.71275,1.5334,1.74526,0.99988,0.33333,0.33167,0.1259,2.11867,1.79412,1.30291,0.000919704,0.000919704,0.000919704
38,57.4789,1.67136,1.53138,1.74675,1,0.3143,0.33167,0.13653,1.8901,1.77175,1.15028,0.000905557,0.000905557,0.000905557
39,58.8243,1.70837,1.49321,1.72604,1,0.25735,0.3276,0.14376,1.78512,1.75831,1.05834,0.00089141,0.00089141,0.00089141
40,60.1903,1.72698,1.56925,1.59125,0.00284,0.33333,0.26884,0.10237,1.9957,2.61586,1.23313,0.000877263,0.000877263,0.000877263
41,61.5501,1.5986,1.4877,1.71015,0.98507,0.26344,0.32297,0.17035,1.84083,1.72589,1.05847,0.000863116,0.000863116,0.000863116
42,62.8851,1.60993,1.44963,1.8056,0.96902,0.33333,0.32999,0.16265,1.92191,1.25701,1.05601,0.000848969,0.000848969,0.000848969
